,dataset,fname,label,label_categorical
0,b,set_b/Btraining_extrastole_127_1306764300147_C2.wav,extrastole,3
1,b,set_b/Btraining_extrastole_128_1306344005749_A.wav,extrastole,3
2,b,set_b/Btraining_extrastole_130_1306347376079_D.wav,extrastole,3
3,b,set_b/Btraining_extrastole_134_1306428161797_C1.wav,extrastole,3
4,b,set_b/Btraining_extrastole_138_1306762146980_B.wav,extrastole,3
5,b,set_b/Btraining_extrastole_140_1306519735121_D.wav,extrastole,3
6,b,set_b/Btraining_extrastole_144_1306522408528_B.wav,extrastole,3
7,b,set_b/Btraining_extrastole_144_1306522408528_B1.wav,extrastole,3
8,b,set_b/Btraining_extrastole_148_1306768801551_B.wav,extrastole,3
9,b,set_b/Btraining_extrastole_151_1306779785624_B.wav,extrastole,3
10,b,set_b/Btraining_extrastole_153_1306848820671_C.wav,extrastole,3
11,b,set_b/Btraining_extrastole_154_1306935608852_D2.wav,extrastole,3
12,b,set_b/Btraining_extrastole_163_1307104470471_C.wav,extrastole,3
13,b,set_b/Btraining_extrastole_179_1307990076841_C.wav,extrastole,3
14,b,set_b/Btraining_extrastole_184_1308073010307_A.wav,extrastole,3
15,b,set_b/Btraining_extrastole_190_1308076920011_C.wav,extrastole,3
16,b,set_b/Btraining_extrastole_191_1308077299430_A.wav,extrastole,3
17,b,set_b/Btraining_extrastole_194_1308139824187_B.wav,extrastole,3
18,b,set_b/Btraining_extrastole_198_1308141739338_B.wav,extrastole,3
19,b,set_b/Btraining_extrastole_198_1308141739338_B1.wav,extrastole,3
20,b,set_b/Btraining_extrastole_202_1308145175747_C1.wav,extrastole,3
21,b,set_b/Btraining_extrastole_202_1308145175747_C2.wav,extrastole,3
22,b,set_b/Btraining_extrastole_207_1308159792607_B.wav,extrastole,3
23,b,set_b/Btraining_extrastole_207_1308159792607_B1.wav,extrastole,3
24,b,set_b/Btraining_extrastole_209_1308162216750_D.wav,extrastole,3
25,b,set_b/Btraining_extrastole_210_1308162935880_C.wav,extrastole,3
26,b,set_b/Btraining_extrastole_213_1308245263936_D.wav,extrastole,3
27,b,set_b/Btraining_extrastole_215_1308245664733_B.wav,extrastole,3
28,b,set_b/Btraining_extrastole_215_1308245664733_B1.wav,extrastole,3
29,b,set_b/Btraining_extrastole_216_1308245839516_A.wav,extrastole,3
30,b,set_b/Btraining_extrastole_216_1308245839516_B.wav,extrastole,3
31,b,set_b/Btraining_extrastole_220_1308250132896_B.wav,extrastole,3
32,b,set_b/Btraining_extrastole_224_1308337157445_B.wav,extrastole,3
33,b,set_b/Btraining_extrastole_229_1308594979317_B.wav,extrastole,3
34,b,set_b/Btraining_extrastole_235_1308749032454_B.wav,extrastole,3
35,b,set_b/Btraining_extrastole_237_1308750231222_A.wav,extrastole,3
36,b,set_b/Btraining_extrastole_237_1308750231222_C.wav,extrastole,3
37,b,set_b/Btraining_extrastole_249_1309202052376_C.wav,extrastole,3
38,b,set_b/Btraining_extrastole_253_1309350256198_B.wav,extrastole,3
39,b,set_b/Btraining_extrastole_261_1309353556003_C.wav,extrastole,3
40,b,set_b/Btraining_extrastole_265_1309367698923_C.wav,extrastole,3
41,b,set_b/Btraining_extrastole_274_1311075637574_A.wav,extrastole,3
42,b,set_b/Btraining_extrastole_275_1310990852160_B.wav,extrastole,3
43,b,set_b/Btraining_extrastole_286_1311170606028_D.wav,extrastole,3
44,b,set_b/Btraining_extrastole_294_1311681084248_C.wav,extrastole,3
45,b,set_b/Btraining_extrastole_298_1311685888900_C.wav,extrastole,3
46,b,set_b/Btraining_murmur_112_1306243000964_A.wav,murmur,2
47,b,set_b/Btraining_murmur_112_1306243000964_B.wav,murmur,2
48,b,set_b/Btraining_murmur_112_1306243000964_D.wav,murmur,2
49,b,set_b/Btraining_murmur_116_1306258689913_A.wav,murmur,2
50,b,set_b/Btraining_murmur_116_1306258689913_C.wav,murmur,2
51,b,set_b/Btraining_murmur_116_1306258689913_D.wav,murmur,2
52,b,set_b/Btraining_murmur_122_1306325762831_C.wav,murmur,2
53,b,set_b/Btraining_murmur_122_1306325762831_D.wav,murmur,2
54,b,set_b/Btraining_murmur_156_1306936373241_B.wav,murmur,2
55,b,set_b/Btraining_murmur_160_1307100683334_A.wav,murmur,2
56,b,set_b/Btraining_murmur_160_1307100683334_B.wav,murmur,2
57,b,set_b/Btraining_murmur_161_1307101199321_A.wav,murmur,2
58,b,set_b/Btraining_murmur_162_1307101835989_A.wav,murmur,2
59,b,set_b/Btraining_murmur_162_1307101835989_B.wav,murmur,2
60,b,set_b/Btraining_murmur_164_1307106095995_B.wav,murmur,2
61,b,set_b/Btraining_murmur_164_1307106095995_C.wav,murmur,2
62,b,set_b/Btraining_murmur_165_1307109069581_C.wav,murmur,2
63,b,set_b/Btraining_murmur_165_1307109069581_C2.wav,murmur,2
64,b,set_b/Btraining_murmur_171_1307971016233_D.wav,murmur,2
65,b,set_b/Btraining_murmur_171_1307971016233_D1.wav,murmur,2
66,b,set_b/Btraining_murmur_171_1307971016233_E.wav,murmur,2
67,b,set_b/Btraining_murmur_185_1308073325396_B.wav,murmur,2
68,b,set_b/Btraining_murmur_185_1308073325396_C.wav,murmur,2
69,b,set_b/Btraining_murmur_193_1308078104592_B.wav,murmur,2
70,b,set_b/Btraining_murmur_193_1308078104592_C.wav,murmur,2
71,b,set_b/Btraining_murmur_193_1308078104592_C1.wav,murmur,2
72,b,set_b/Btraining_murmur_195_1308140095331_A.wav,murmur,2
73,b,set_b/Btraining_murmur_195_1308140095331_C.wav,murmur,2
74,b,set_b/Btraining_murmur_195_1308140095331_C1.wav,murmur,2
75,b,set_b/Btraining_murmur_196_1308141034858_B.wav,murmur,2
76,b,set_b/Btraining_murmur_196_1308141034858_C.wav,murmur,2
77,b,set_b/Btraining_murmur_197_1308141235553_A.wav,murmur,2
78,b,set_b/Btraining_murmur_197_1308141235553_C.wav,murmur,2
79,b,set_b/Btraining_murmur_197_1308141235553_D.wav,murmur,2
80,b,set_b/Btraining_murmur_200_1308144251434_C.wav,murmur,2
81,b,set_b/Btraining_murmur_200_1308144251434_D.wav,murmur,2
82,b,set_b/Btraining_murmur_203_1308162026258_B.wav,murmur,2
83,b,set_b/Btraining_murmur_203_1308162026258_C1.wav,murmur,2
84,b,set_b/Btraining_murmur_203_1308162026258_D.wav,murmur,2
85,b,set_b/Btraining_murmur_204_1308159229275_B.wav,murmur,2
86,b,set_b/Btraining_murmur_211_1308163238707_C.wav,murmur,2
87,b,set_b/Btraining_murmur_223_1308337062581_D.wav,murmur,2
88,b,set_b/Btraining_murmur_239_1309195730333_B.wav,murmur,2
89,b,set_b/Btraining_murmur_239_1309195730333_C.wav,murmur,2
90,b,set_b/Btraining_murmur_240_1309196119795_B.wav,murmur,2
91,b,set_b/Btraining_murmur_240_1309196119795_C.wav,murmur,2
92,b,set_b/Btraining_murmur_240_1309201366049_B.wav,murmur,2
93,b,set_b/Btraining_murmur_242_1309197394064_B.wav,murmur,2
94,b,set_b/Btraining_murmur_242_1309197394064_D.wav,murmur,2
95,b,set_b/Btraining_murmur_244_1309198148498_B.wav,murmur,2
96,b,set_b/Btraining_murmur_245_1309200438094_B.wav,murmur,2
97,b,set_b/Btraining_murmur_248_1309201683806_A.wav,murmur,2
98,b,set_b/Btraining_murmur_248_1309201683806_C.wav,murmur,2
99,b,set_b/Btraining_murmur_254_1309350589009_A.wav,murmur,2
100,b,set_b/Btraining_murmur_254_1309350589009_A1.wav,murmur,2
101,b,set_b/Btraining_murmur_254_1309350589009_C.wav,murmur,2
102,b,set_b/Btraining_murmur_254_1309350589009_D.wav,murmur,2
103,b,set_b/Btraining_murmur_276_1311162716489_C.wav,murmur,2
104,b,set_b/Btraining_murmur_281_1311165683454_A.wav,murmur,2
105,b,set_b/Btraining_murmur_281_1311165683454_B.wav,murmur,2
106,b,set_b/Btraining_murmur_281_1311165683454_D.wav,murmur,2
107,b,set_b/Btraining_murmur_287_1311170903290_C.wav,murmur,2
108,b,set_b/Btraining_murmur_288_1311164615284_D.wav,murmur,2
109,b,set_b/Btraining_murmur_292_1311185449649_B.wav,murmur,2
110,b,set_b/Btraining_murmur_292_1311185449649_C.wav,murmur,2
111,b,set_b/Btraining_murmur_293_1311680805936_B1.wav,murmur,2
112,b,set_b/Btraining_normal_103_1305031931979_B.wav,normal,0
113,b,set_b/Btraining_normal_103_1305031931979_D1.wav,normal,0
114,b,set_b/Btraining_normal_103_1305031931979_D2.wav,normal,0
115,b,set_b/Btraining_normal_103_1305031931979_D3.wav,normal,0
116,b,set_b/Btraining_normal_106_1306776721273_B1.wav,normal,0
117,b,set_b/Btraining_normal_106_1306776721273_C1.wav,normal,0
118,b,set_b/Btraining_normal_106_1306776721273_C2.wav,normal,0
119,b,set_b/Btraining_normal_106_1306776721273_D1.wav,normal,0
120,b,set_b/Btraining_normal_106_1306776721273_D2.wav,normal,0
121,b,set_b/Btraining_normal_107_1305654946865_C1.wav,normal,0
122,b,set_b/Btraining_normal_109_1305653646620_C.wav,normal,0
123,b,set_b/Btraining_normal_113_1306244002866_D.wav,normal,0
124,b,set_b/Btraining_normal_115_1306259437619_C.wav,normal,0
125,b,set_b/Btraining_normal_117_1306262456650_B.wav,normal,0
126,b,set_b/Btraining_normal_125_1306332456645_B.wav,normal,0
127,b,set_b/Btraining_normal_126_1306777102824_B.wav,normal,0
128,b,set_b/Btraining_normal_126_1306777102824_C.wav,normal,0
129,b,set_b/Btraining_normal_126_1306777102824_D.wav,normal,0
130,b,set_b/Btraining_normal_127_1306764300147_A.wav,normal,0
131,b,set_b/Btraining_normal_127_1306764300147_B.wav,normal,0
132,b,set_b/Btraining_normal_127_1306764300147_C1.wav,normal,0
133,b,set_b/Btraining_normal_128_1306344005749_B.wav,normal,0
134,b,set_b/Btraining_normal_128_1306344005749_D.wav,normal,0
135,b,set_b/Btraining_normal_128_1306344005749_D1.wav,normal,0
136,b,set_b/Btraining_normal_129_1306344506305_B1.wav,normal,0
137,b,set_b/Btraining_normal_129_1306344506305_D.wav,normal,0
138,b,set_b/Btraining_normal_129_1306344506305_D1.wav,normal,0
139,b,set_b/Btraining_normal_133_1306759619127_A.wav,normal,0
140,b,set_b/Btraining_normal_133_1306759619127_B.wav,normal,0
141,b,set_b/Btraining_normal_133_1306759619127_D.wav,normal,0
142,b,set_b/Btraining_normal_134_1306428161797_C.wav,normal,0
143,b,set_b/Btraining_normal_134_1306428161797_C2.wav,normal,0
144,b,set_b/Btraining_normal_134_1306428161797_D.wav,normal,0
145,b,set_b/Btraining_normal_137_1306764999211_C.wav,normal,0
146,b,set_b/Btraining_normal_137_1306764999211_D.wav,normal,0
147,b,set_b/Btraining_normal_139_1306519274653_A.wav,normal,0
148,b,set_b/Btraining_normal_140_1306519735121_A.wav,normal,0
149,b,set_b/Btraining_normal_140_1306519735121_B.wav,normal,0
150,b,set_b/Btraining_normal_140_1306519735121_D1.wav,normal,0
151,b,set_b/Btraining_normal_141_1306520154450_B.wav,normal,0
152,b,set_b/Btraining_normal_141_1306520154450_C.wav,normal,0
153,b,set_b/Btraining_normal_143_1306763822290_B.wav,normal,0
154,b,set_b/Btraining_normal_143_1306763822290_C.wav,normal,0
155,b,set_b/Btraining_normal_145_1307987561278_B.wav,normal,0
156,b,set_b/Btraining_normal_145_1307987561278_C.wav,normal,0
157,b,set_b/Btraining_normal_146_1306778707532_A.wav,normal,0
158,b,set_b/Btraining_normal_146_1306778707532_B.wav,normal,0
159,b,set_b/Btraining_normal_146_1306778707532_D1.wav,normal,0
160,b,set_b/Btraining_normal_146_1306778707532_D2.wav,normal,0
161,b,set_b/Btraining_normal_146_1306778707532_D3.wav,normal,0
162,b,set_b/Btraining_normal_146_1306778707532_D4.wav,normal,0
163,b,set_b/Btraining_normal_147_1306523973811_A.wav,normal,0
164,b,set_b/Btraining_normal_147_1306523973811_C.wav,normal,0
165,b,set_b/Btraining_normal_148_1306768801551_C1.wav,normal,0
166,b,set_b/Btraining_normal_148_1306768801551_D2.wav,normal,0
167,b,set_b/Btraining_normal_149_1306776016110_B.wav,normal,0
168,b,set_b/Btraining_normal_149_1306776016110_C1.wav,normal,0
169,b,set_b/Btraining_normal_150_1306776340746_B.wav,normal,0
170,b,set_b/Btraining_normal_150_1306776340746_C.wav,normal,0
171,b,set_b/Btraining_normal_151_1306779785624_A.wav,normal,0
172,b,set_b/Btraining_normal_151_1306779785624_D.wav,normal,0
173,b,set_b/Btraining_normal_152_1306779561195_B1.wav,normal,0
174,b,set_b/Btraining_normal_152_1306779561195_C1.wav,normal,0
175,b,set_b/Btraining_normal_152_1306779561195_D.wav,normal,0
176,b,set_b/Btraining_normal_153_1306848820671_A.wav,normal,0
177,b,set_b/Btraining_normal_153_1306848820671_B.wav,normal,0
178,b,set_b/Btraining_normal_153_1306848820671_B1.wav,normal,0
179,b,set_b/Btraining_normal_153_1306848820671_D1.wav,normal,0
180,b,set_b/Btraining_normal_154_1306935608852_A1.wav,normal,0
181,b,set_b/Btraining_normal_154_1306935608852_B.wav,normal,0
182,b,set_b/Btraining_normal_154_1306935608852_B1.wav,normal,0
183,b,set_b/Btraining_normal_154_1306935608852_D.wav,normal,0
184,b,set_b/Btraining_normal_155_1306935902813_B1.wav,normal,0
185,b,set_b/Btraining_normal_158_1306947254705_B2.wav,normal,0
186,b,set_b/Btraining_normal_159_1307018640315_A.wav,normal,0
187,b,set_b/Btraining_normal_159_1307018640315_B1.wav,normal,0
188,b,set_b/Btraining_normal_159_1307018640315_B2.wav,normal,0
189,b,set_b/Btraining_normal_159_1307018640315_C1.wav,normal,0
190,b,set_b/Btraining_normal_167_1307111318050_A.wav,normal,0
191,b,set_b/Btraining_normal_167_1307111318050_C.wav,normal,0
192,b,set_b/Btraining_normal_168_1307970069434_A.wav,normal,0
193,b,set_b/Btraining_normal_168_1307970069434_A2.wav,normal,0
194,b,set_b/Btraining_normal_169_1307970398039_C.wav,normal,0
195,b,set_b/Btraining_normal_170_1307970562729_A.wav,normal,0
196,b,set_b/Btraining_normal_170_1307970562729_B.wav,normal,0
197,b,set_b/Btraining_normal_170_1307970562729_C.wav,normal,0
198,b,set_b/Btraining_normal_172_1307971284351_B.wav,normal,0
199,b,set_b/Btraining_normal_172_1307971284351_B1.wav,normal,0
200,b,set_b/Btraining_normal_173_1307973611151_B.wav,normal,0
201,b,set_b/Btraining_normal_173_1307973611151_C.wav,normal,0
202,b,set_b/Btraining_normal_174_1307987737137_B.wav,normal,0
203,b,set_b/Btraining_normal_174_1307987737137_B1.wav,normal,0
204,b,set_b/Btraining_normal_175_1307987962616_B.wav,normal,0
205,b,set_b/Btraining_normal_175_1307987962616_B1.wav,normal,0
206,b,set_b/Btraining_normal_175_1307987962616_D.wav,normal,0
207,b,set_b/Btraining_normal_176_1307988171173_A.wav,normal,0
208,b,set_b/Btraining_normal_176_1307988171173_B.wav,normal,0
209,b,set_b/Btraining_normal_176_1307988171173_B1.wav,normal,0
210,b,set_b/Btraining_normal_177_1307989650056_A1.wav,normal,0
211,b,set_b/Btraining_normal_177_1307989650056_B.wav,normal,0
212,b,set_b/Btraining_normal_177_1307989650056_D.wav,normal,0
213,b,set_b/Btraining_normal_177_1307989650056_D1.wav,normal,0
214,b,set_b/Btraining_normal_178_1307989887769_B.wav,normal,0
215,b,set_b/Btraining_normal_178_1307989887769_D.wav,normal,0
216,b,set_b/Btraining_normal_179_1307990076841_B.wav,normal,0
217,b,set_b/Btraining_normal_179_1307990076841_D.wav,normal,0
218,b,set_b/Btraining_normal_180_1307990956284_A.wav,normal,0
219,b,set_b/Btraining_normal_180_1307990956284_C.wav,normal,0
220,b,set_b/Btraining_normal_181_1308052613891_B.wav,normal,0
221,b,set_b/Btraining_normal_181_1308052613891_D.wav,normal,0
222,b,set_b/Btraining_normal_183_1308072703477_B.wav,normal,0
223,b,set_b/Btraining_normal_183_1308072703477_C.wav,normal,0
224,b,set_b/Btraining_normal_184_1308073010307_B.wav,normal,0
225,b,set_b/Btraining_normal_184_1308073010307_D.wav,normal,0
226,b,set_b/Btraining_normal_186_1308073648738_C1.wav,normal,0
227,b,set_b/Btraining_normal_186_1308073648738_D.wav,normal,0
228,b,set_b/Btraining_normal_188_1308074301731_C.wav,normal,0
229,b,set_b/Btraining_normal_188_1308074301731_D.wav,normal,0
230,b,set_b/Btraining_normal_190_1308076920011_C1.wav,normal,0
231,b,set_b/Btraining_normal_190_1308076920011_D.wav,normal,0
232,b,set_b/Btraining_normal_191_1308077299430_B.wav,normal,0
233,b,set_b/Btraining_normal_194_1308139824187_A.wav,normal,0
234,b,set_b/Btraining_normal_194_1308139824187_A1.wav,normal,0
235,b,set_b/Btraining_normal_198_1308141739338_C.wav,normal,0
236,b,set_b/Btraining_normal_201_1308144942432_A.wav,normal,0
237,b,set_b/Btraining_normal_201_1308144942432_A1.wav,normal,0
238,b,set_b/Btraining_normal_202_1308145175747_C.wav,normal,0
239,b,set_b/Btraining_normal_202_1308145175747_D.wav,normal,0
240,b,set_b/Btraining_normal_204_1308159229275_C.wav,normal,0
241,b,set_b/Btraining_normal_204_1308159229275_D.wav,normal,0
242,b,set_b/Btraining_normal_206_1308159601959_C.wav,normal,0
243,b,set_b/Btraining_normal_207_1308159792607_C.wav,normal,0
244,b,set_b/Btraining_normal_208_1308159994503_C.wav,normal,0
245,b,set_b/Btraining_normal_209_1308162216750_A.wav,normal,0
246,b,set_b/Btraining_normal_209_1308162216750_A1.wav,normal,0
247,b,set_b/Btraining_normal_210_1308162935880_B.wav,normal,0
248,b,set_b/Btraining_normal_210_1308162935880_B1.wav,normal,0
249,b,set_b/Btraining_normal_210_1308162935880_D1.wav,normal,0
250,b,set_b/Btraining_normal_210_1308162935880_D2.wav,normal,0
251,b,set_b/Btraining_normal_213_1308245263936_C.wav,normal,0
252,b,set_b/Btraining_normal_214_1308245489717_A.wav,normal,0
253,b,set_b/Btraining_normal_215_1308245664733_C.wav,normal,0
